"_id","_labels","Att_t_client","Budgt_alloc","Client","Competitors","CrossSale","Deal_type","Forml_tend","Growth","Needs_def","Partnership","Posit_statm","Purch_dept","RFI","RFP","Scope","Source","Status","Strat_deal","Up_sale","authority","comp_size","name","product","seller","_start","_end","_type"
,,,,,,,,,,,,,,,,,,,,,,,,,,"24","29","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"25","30","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"22","208","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"26","209","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"27","210","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"28","31","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"29","211","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"30","212","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"4","213","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"5","32","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"31","33","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"31","34","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"31","35","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"31","36","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"32","214","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"33","215","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"34","216","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"35","37","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"36","38","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"34","39","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"35","40","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"36","41","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"37","42","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"38","217","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"39","43","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"40","44","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"41","45","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"42","218","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"43","219","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"44","220","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"45","221","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"5","222","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"7","223","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"8","41","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"28","46","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"29","47","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"30","48","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"4","49","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"5","50","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"31","94","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"31","95","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"31","224","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"46","51","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"47","52","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"48","53","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"49","225","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"50","56","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"51","226","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"52","227","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"53","54","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","55","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"1","228","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"54","229","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"55","230","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"56","231","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"54","55","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","232","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","57","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","58","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","59","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","233","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"57","234","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"58","235","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"59","236","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"60","237","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"61","68","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"3","69","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"2","70","IS_CONNECTED"
